sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race,c_charge_degree,two_yr_recidivism
Female,65.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,41.0,0.0,0.0,0.0,2.0,Caucasian,Felony,No
Female,22.0,0.0,0.0,0.0,4.0,African-American,Misdemeanor,Yes
Male,28.0,0.0,0.0,0.0,2.0,African-American,Felony,Yes
Female,45.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,22.0,1.0,0.0,1.0,3.0,African-American,Felony,Yes
Female,35.0,0.0,1.0,0.0,1.0,Caucasian,Misdemeanor,No
Male,50.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Female,21.0,0.0,0.0,0.0,5.0,African-American,Felony,Yes
Male,38.0,0.0,0.0,0.0,1.0,Caucasian,Felony,No
Female,60.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,26.0,0.0,0.0,0.0,7.0,African-American,Felony,Yes
Female,29.0,0.0,0.0,0.0,2.0,Caucasian,Felony,No
Male,42.0,0.0,0.0,0.0,12.0,Caucasian,Felony,Yes
Female,33.0,0.0,0.0,0.0,0.0,African-American,Felony,No
Male,19.0,1.0,2.0,0.0,0.0,African-American,Misdemeanor,Yes
Female,47.0,0.0,0.0,0.0,3.0,Caucasian,Misdemeanor,No
Male,31.0,0.0,0.0,0.0,4.0,Caucasian,Felony,Yes
Female,24.0,0.0,0.0,0.0,1.0,African-American,Felony,Yes
Male,55.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Female,20.0,0.0,0.0,0.0,6.0,Caucasian,Felony,Yes
Male,34.0,0.0,0.0,0.0,2.0,African-American,Misdemeanor,No
Female,41.0,0.0,0.0,0.0,9.0,African-American,Felony,Yes
Male,38.0,0.0,0.0,0.0,3.0,Caucasian,Felony,Yes
Female,29.0,0.0,1.0,0.0,0.0,African-American,Misdemeanor,No
Male,45.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Female,21.0,0.0,0.0,1.0,2.0,African-American,Felony,Yes
Male,55.0,0.0,0.0,0.0,5.0,African-American,Felony,Yes
Female,34.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,26.0,1.0,0.0,0.0,4.0,African-American,Felony,Yes
Female,50.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Male,19.0,0.0,2.0,1.0,0.0,African-American,Felony,Yes
Female,41.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
Male,31.0,0.0,0.0,0.0,7.0,Caucasian,Felony,Yes
Female,27.0,0.0,0.0,0.0,2.0,African-American,Misdemeanor,No
Male,60.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Female,23.0,0.0,0.0,0.0,6.0,African-American,Felony,Yes
Male,33.0,0.0,0.0,0.0,1.0,Caucasian,Felony,No
Female,18.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Male,48.0,0.0,0.0,0.0,12.0,African-American,Felony,Yes
Female,36.0,0.0,0.0,0.0,3.0,Caucasian,Misdemeanor,No
Male,24.0,0.0,0.0,0.0,9.0,Caucasian,Felony,Yes
Female,42.0,0.0,0.0,0.0,0.0,African-American,Felony,No
Male,29.0,0.0,0.0,0.0,3.0,Caucasian,Felony,Yes
Female,45.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,20.0,1.0,1.0,0.0,0.0,African-American,Felony,Yes
Female,35.0,0.0,0.0,0.0,2.0,African-American,Misdemeanor,No
Male,55.0,0.0,0.0,0.0,5.0,Caucasian,Felony,No
Female,26.0,0.0,0.0,1.0,6.0,African-American,Felony,Yes
Male,19.0,2.0,0.0,0.0,1.0,African-American,Misdemeanor,Yes
Female,60.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,41.0,0.0,0.0,0.0,12.0,African-American,Felony,Yes
Female,21.0,0.0,0.0,0.0,3.0,Caucasian,Felony,Yes
Male,33.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Female,18.0,0.0,1.0,2.0,0.0,African-American,Felony,Yes
Male,48.0,0.0,0.0,0.0,1.0,Caucasian,Felony,No
Female,31.0,0.0,0.0,0.0,9.0,African-American,Misdemeanor,Yes
Male,27.0,0.0,0.0,0.0,4.0,African-American,Felony,No
Female,38.0,0.0,0.0,0.0,2.0,Caucasian,Misdemeanor,Yes
Male,24.0,0.0,0.0,0.0,7.0,African-American,Felony,Yes
Female,50.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Male,22.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
Female,42.0,0.0,0.0,0.0,11.0,Caucasian,Felony,Yes
Male,45.0,0.0,0.0,0.0,12.0,African-American,Felony,Yes
Female,29.0,1.0,0.0,0.0,3.0,Caucasian,Felony,Yes
Male,55.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Female,19.0,0.0,1.0,1.0,2.0,African-American,Felony,Yes
Male,38.0,0.0,0.0,0.0,5.0,African-American,Misdemeanor,Yes
Female,42.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Male,26.0,0.0,0.0,0.0,0.0,African-American,Felony,No
Female,35.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Male,21.0,0.0,0.0,0.0,1.0,Caucasian,Felony,No
Female,60.0,0.0,0.0,0.0,3.0,Caucasian,Misdemeanor,No
Male,24.0,0.0,0.0,0.0,4.0,African-American,Felony,Yes
Female,33.0,0.0,0.0,0.0,7.0,African-American,Felony,Yes
Male,48.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
Female,20.0,0.0,2.0,0.0,1.0,Caucasian,Misdemeanor,Yes
Male,31.0,0.0,0.0,0.0,9.0,African-American,Felony,Yes
Female,27.0,0.0,0.0,0.0,2.0,Caucasian,Felony,Yes
Male,50.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Female,18.0,0.0,0.0,0.0,0.0,African-American,Felony,No
Male,34.0,0.0,0.0,0.0,14.0,Caucasian,Felony,Yes
Female,41.0,0.0,0.0,0.0,5.0,African-American,Misdemeanor,Yes
Male,45.0,0.0,0.0,0.0,12.0,African-American,Felony,Yes
Female,69.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Male,19.0,1.0,2.0,1.0,0.0,African-American,Felony,Yes
Female,58.0,0.0,0.0,0.0,3.0,Caucasian,Misdemeanor,No
Male,26.0,0.0,0.0,0.0,5.0,African-American,Felony,Yes
Female,34.0,0.0,1.0,0.0,2.0,Caucasian,Felony,No
Male,41.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Female,21.0,0.0,0.0,0.0,9.0,African-American,Felony,Yes
Male,38.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Female,49.0,0.0,0.0,0.0,7.0,African-American,Felony,Yes
Male,31.0,0.0,0.0,0.0,4.0,Caucasian,Felony,No
Female,20.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Male,55.0,0.0,0.0,0.0,2.0,Caucasian,Misdemeanor,No
Female,24.0,0.0,0.0,0.0,11.0,African-American,Felony,Yes
Male,47.0,0.0,0.0,0.0,14.0,Caucasian,Felony,Yes
Female,29.0,0.0,0.0,0.0,0.0,Caucasian,Felony,Yes
Male,23.0,0.0,0.0,0.0,3.0,African-American,Misdemeanor,Yes
Female,67.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,36.0,0.0,0.0,0.0,6.0,African-American,Felony,Yes
Female,42.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Male,28.0,0.0,0.0,0.0,3.0,African-American,Felony,Yes
Female,45.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,21.0,1.0,1.0,0.0,2.0,African-American,Felony,Yes
Female,35.0,0.0,0.0,0.0,1.0,Caucasian,Felony,No
Male,55.0,0.0,0.0,0.0,5.0,African-American,Misdemeanor,No
Female,19.0,0.0,2.0,1.0,0.0,Caucasian,Misdemeanor,Yes
Male,42.0,0.0,0.0,0.0,12.0,African-American,Felony,Yes
Female,60.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,26.0,0.0,0.0,0.0,4.0,African-American,Felony,Yes
Female,33.0,0.0,0.0,0.0,2.0,Caucasian,Felony,No
Male,24.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,Yes
Female,38.0,0.0,0.0,0.0,6.0,African-American,Misdemeanor,Yes
Male,50.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
Female,22.0,0.0,1.0,0.0,3.0,African-American,Felony,Yes
Male,31.0,0.0,0.0,0.0,8.0,Caucasian,Felony,Yes
Female,41.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Male,29.0,0.0,0.0,0.0,7.0,African-American,Felony,Yes
Female,47.0,0.0,0.0,0.0,1.0,Caucasian,Felony,No
Male,20.0,2.0,0.0,0.0,0.0,Caucasian,Felony,Yes
Female,56.0,0.0,0.0,0.0,2.0,African-American,Misdemeanor,No
Female,28.0,0.0,0.0,0.0,2.0,Caucasian,Felony,No
Male,45.0,1.0,0.0,1.0,5.0,African-American,Felony,Yes
Female,20.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,35.0,0.0,1.0,0.0,8.0,African-American,Felony,Yes
Female,55.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Male,24.0,0.0,0.0,0.0,3.0,African-American,Misdemeanor,Yes
Female,31.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
Male,60.0,0.0,0.0,0.0,12.0,Caucasian,Felony,Yes
Female,26.0,0.0,0.0,0.0,2.0,African-American,Misdemeanor,No
Male,19.0,2.0,1.0,0.0,1.0,African-American,Felony,Yes
Female,42.0,0.0,0.0,0.0,4.0,Caucasian,Felony,Yes
Male,29.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Female,38.0,0.0,0.0,0.0,6.0,Caucasian,Felony,Yes
Male,50.0,0.0,0.0,0.0,3.0,African-American,Misdemeanor,No
Female,21.0,0.0,0.0,0.0,0.0,African-American,Felony,No
Male,33.0,0.0,0.0,0.0,9.0,Caucasian,Felony,Yes
Female,48.0,0.0,0.0,0.0,1.0,African-American,Misdemeanor,No
Male,27.0,0.0,0.0,0.0,4.0,Caucasian,Misdemeanor,Yes
Female,34.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
Male,41.0,0.0,0.0,0.0,7.0,African-American,Felony,Yes
Male,25.0,0.0,0.0,1.0,3.0,African-American,Felony,Yes
Female,45.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,19.0,1.0,0.0,0.0,0.0,African-American,Felony,Yes
Female,38.0,0.0,1.0,0.0,2.0,Caucasian,Misdemeanor,No
Male,29.0,0.0,0.0,0.0,5.0,African-American,Felony,Yes
Female,55.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Male,35.0,0.0,0.0,0.0,12.0,Caucasian,Felony,Yes
Female,21.0,0.0,2.0,1.0,3.0,African-American,Felony,Yes
Male,42.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Female,26.0,0.0,0.0,0.0,2.0,African-American,Felony,Yes
Male,50.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Female,31.0,0.0,0.0,0.0,7.0,Caucasian,Felony,Yes
Male,23.0,0.0,1.0,0.0,4.0,African-American,Misdemeanor,Yes
Female,60.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Male,33.0,0.0,0.0,0.0,1.0,Caucasian,Felony,No
Female,20.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
Male,27.0,0.0,0.0,0.0,9.0,African-American,Felony,Yes
Female,40.0,0.0,0.0,0.0,4.0,African-American,Misdemeanor,Yes
Male,48.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Female,34.0,0.0,0.0,0.0,6.0,Caucasian,Felony,Yes
Female,45.0,0.0,0.0,0.0,2.0,Caucasian,Felony,No
Male,27.0,1.0,0.0,1.0,3.0,African-American,Misdemeanor,Yes
Male,55.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Female,20.0,0.0,1.0,0.0,0.0,African-American,Felony,Yes
Male,34.0,0.0,0.0,0.0,12.0,African-American,Felony,Yes
Female,29.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,19.0,2.0,3.0,1.0,1.0,African-American,Felony,Yes
Female,38.0,0.0,0.0,0.0,5.0,Caucasian,Felony,Yes
Male,48.0,0.0,0.0,0.0,20.0,African-American,Felony,Yes
Female,58.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,24.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Female,31.0,0.0,0.0,0.0,9.0,African-American,Felony,Yes
Male,41.0,0.0,0.0,0.0,3.0,Caucasian,Misdemeanor,No
Female,22.0,0.0,0.0,0.0,1.0,African-American,Felony,Yes
Female,26.0,0.0,0.0,0.0,0.0,Caucasian,Felony,Yes
Male,35.0,0.0,0.0,0.0,14.0,Caucasian,Felony,Yes
Male,60.0,0.0,0.0,0.0,4.0,African-American,Misdemeanor,No
Female,18.0,1.0,1.0,0.0,0.0,Caucasian,Felony,Yes
Male,33.0,0.0,0.0,0.0,2.0,African-American,Misdemeanor,No
Female,47.0,0.0,0.0,0.0,11.0,Caucasian,Felony,Yes
Male,28.0,0.0,0.0,0.0,3.0,African-American,Felony,Yes
Female,45.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,19.0,1.0,1.0,0.0,0.0,African-American,Felony,Yes
Female,55.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Male,35.0,0.0,0.0,0.0,5.0,African-American,Felony,Yes
Female,24.0,0.0,0.0,1.0,0.0,Caucasian,Felony,No
Male,42.0,0.0,0.0,0.0,2.0,African-American,Misdemeanor,No
Female,38.0,0.0,0.0,0.0,12.0,African-American,Felony,Yes
Male,60.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Female,21.0,0.0,0.0,0.0,0.0,African-American,Felony,No
Male,33.0,0.0,0.0,0.0,7.0,Caucasian,Felony,Yes
Female,29.0,0.0,1.0,0.0,3.0,Caucasian,Misdemeanor,Yes
Male,48.0,0.0,0.0,0.0,4.0,African-American,Misdemeanor,No
Female,31.0,0.0,0.0,0.0,1.0,African-American,Felony,Yes
Male,26.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Female,50.0,0.0,0.0,0.0,2.0,Caucasian,Felony,No
Male,23.0,0.0,2.0,1.0,2.0,African-American,Felony,Yes
Female,41.0,0.0,0.0,0.0,9.0,Caucasian,Felony,Yes
Male,34.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Female,20.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Male,28.0,0.0,1.0,0.0,3.0,African-American,Felony,Yes
Female,45.0,0.0,0.0,0.0,2.0,Caucasian,Misdemeanor,No
Male,21.0,1.0,0.0,1.0,5.0,African-American,Felony,Yes
Female,35.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
Male,55.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Female,19.0,0.0,2.0,1.0,2.0,African-American,Misdemeanor,Yes
Male,40.0,0.0,0.0,0.0,8.0,African-American,Felony,Yes
Female,29.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
Male,24.0,0.0,0.0,0.0,1.0,African-American,Misdemeanor,No
Female,60.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,33.0,0.0,0.0,0.0,12.0,African-American,Felony,Yes
Female,26.0,0.0,1.0,0.0,4.0,African-American,Felony,Yes
Male,18.0,2.0,1.0,0.0,0.0,Caucasian,Felony,Yes
Female,47.0,0.0,0.0,0.0,3.0,Caucasian,Misdemeanor,No
Male,31.0,0.0,0.0,2.0,7.0,African-American,Felony,Yes
Female,22.0,0.0,0.0,0.0,1.0,African-American,Misdemeanor,No
Male,38.0,0.0,0.0,0.0,4.0,Caucasian,Felony,Yes
Female,42.0,0.0,0.0,0.0,5.0,African-American,Felony,Yes
Male,50.0,0.0,0.0,0.0,2.0,Caucasian,Misdemeanor,No
Female,20.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
Male,24.0,1.0,0.0,1.0,3.0,African-American,Felony,Yes
Female,45.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,19.0,2.0,1.0,0.0,1.0,Caucasian,Felony,Yes
Female,35.0,0.0,0.0,0.0,5.0,African-American,Felony,Yes
Male,55.0,0.0,0.0,0.0,2.0,Caucasian,Misdemeanor,No
Female,28.0,0.0,0.0,0.0,0.0,African-American,Misdemeanor,No
Male,41.0,0.0,0.0,0.0,12.0,African-American,Felony,Yes
Female,21.0,0.0,1.0,2.0,2.0,Caucasian,Felony,Yes
Male,33.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Female,29.0,0.0,0.0,0.0,1.0,African-American,Misdemeanor,No
Male,26.0,0.0,0.0,0.0,4.0,African-American,Felony,Yes
Female,50.0,0.0,0.0,0.0,0.0,Caucasian,Misdemeanor,No
Male,38.0,0.0,0.0,0.0,7.0,Caucasian,Felony,Yes
Female,31.0,0.0,0.0,0.0,3.0,African-American,Felony,Yes
Male,18.0,1.0,2.0,0.0,0.0,African-American,Misdemeanor,Yes
Female,60.0,0.0,0.0,0.0,1.0,Caucasian,Misdemeanor,No
Male,47.0,0.0,0.0,0.0,6.0,Caucasian,Felony,No
Female,20.0,0.0,0.0,0.0,0.0,African-American,Felony,No
Male,34.0,0.0,0.0,0.0,9.0,African-American,Misdemeanor,Yes
Female,42.0,0.0,0.0,0.0,2.0,Caucasian,Felony,No
